Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,20.7490612029778
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,28549.175527547
Brunei Darussalam,BRN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,9537.0515607056
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.854
Brunei Darussalam,BRN,Trade (% of GDP),NE.TRD.GNFS.ZS,146.973966092536
Brunei Darussalam,BRN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bulgaria,BGR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.74436949669897
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9601.43271269533
Bulgaria,BGR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2968.65663426552
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.363
Bulgaria,BGR,Trade (% of GDP),NE.TRD.GNFS.ZS,138.84014681798
Bulgaria,BGR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Burkina Faso,BFA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.272952580203561
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,739.363021191451
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,312.929085804227
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.877
Burkina Faso,BFA,Trade (% of GDP),NE.TRD.GNFS.ZS,64.8438739203037
Burkina Faso,BFA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,71.4
Burundi,BDI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0630278422265073
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,253.69164159159
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.417
Burundi,BDI,Trade (% of GDP),NE.TRD.GNFS.ZS,28.315320358729
Burundi,BDI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,83
Cabo Verde,CPV,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.99541694805682
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3997.76763250653
Cabo Verde,CPV,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.545
Cabo Verde,CPV,Trade (% of GDP),NE.TRD.GNFS.ZS,96.9941368513357
Cabo Verde,CPV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,21.8
Cambodia,KHM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.00888143537241
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2011.27433313199
Cambodia,KHM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,501.644136152087
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.114
Cambodia,KHM,Trade (% of GDP),NE.TRD.GNFS.ZS,145.873632761406
Cambodia,KHM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Cameroon,CMR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.391799287881769
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1458.66180431693
Cameroon,CMR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,384.104863153688
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.733
Cameroon,CMR,Trade (% of GDP),NE.TRD.GNFS.ZS,41.2866025594679
Cameroon,CMR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Canada,CAN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,14.7761011717351
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45677.686578804
Canada,CAN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7578.02093601237
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.752
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,67.3176215563989
